Timestamp (UTC),Day created,Time created,Content,Total Likes,Total Comments,Total Shares,Post Type
Wed Nov 02 13:55:23 UTC 2016,Wednesday,13:55:23,"Check out Hire Heroes USA ever-growing list of partner organizations that - together - offer a wide variety of training programs for transitioning military members, veterans and military spouses? The information is always available on our website, so check it out, and visit regularly. We are always adding new opportunities.",9,1,5,LINK
Tue Nov 01 19:54:50 UTC 2016,Tuesday,19:54:50,,2,1,1,PHOTO
Tue Nov 01 17:45:00 UTC 2016,Tuesday,17:45:00,"Tattoos - to cover them or not to cover them for job interviews? That's the question, and you'll find some answers in this week's 'Minute Tip' -",16,1,1,VIDEO
Tue Nov 01 15:45:59 UTC 2016,Tuesday,15:45:59,"Starting this Friday, we'll be asking you to share the stories of those you know who have served. Check the link for details on how to participate and help us make every day Veterans Day, from Nov. 4-13. #WhosYourHero",6,0,1,LINK
Mon Oct 31 15:37:17 UTC 2016,Monday,15:37:17,"Some more fantastic photos to share from our recent workshops in Guam. Thanks to the USO for the opportunity to expand our reach into Asia this year to assist transitioning military members, veterans and military spouses. We really do LOVE what we do! #MakingADifference",5,0,0,PHOTO
Mon Oct 31 14:03:13 UTC 2016,Monday,14:03:13,Transitioning military members: Take the first step toward a successful career in the civilian workforce by registering today with Hire Heroes USA.,9,1,1,LINK
Sat Oct 29 14:50:28 UTC 2016,Saturday,14:50:28,"Are you wondering how you can help veterans? Or if you’re even qualified to help? If you’re knowledgeable about any industry, job or skill set then you can and you are! Join us as a volunteer today!",21,1,4,LINK
Fri Oct 28 17:49:18 UTC 2016,Friday,17:49:18,"There are nearly 500,000 unemployed military veterans in the United States. Through free, personalized career coaching services, Hire Heroes USA empowers many of these men and women in their civilian job search every week. The individuals in this video are actual veterans (and a military spouse) that Hire Heroes USA had the privilege of assisting. Visit our website to learn how you can support our mission. http://bit.ly/hhusa",132,15,162,VIDEO
Fri Oct 28 16:57:35 UTC 2016,Friday,16:57:35,"The family that serves together, stays together - and for this Hollywood family, serving is a strong tradition. The Bridges family – father and sons -  made their mark in the U.S. Coast Guard and they are this week’s Veteran Spotlight:

https://www.youtube.com/watch?v=t_gDHUdHaOs",16,1,0,LINK
Thu Oct 27 14:25:17 UTC 2016,Thursday,14:25:17,"Did you know: Hire Heroes USA will be conducting USO Transition 360 workshops in Las Vegas, NV,  San Diego, CA and  Watertown NY this November? If you or anyone you know is in or near any of these areas, register now to join us for these free events!",10,0,6,LINK
Thu Oct 27 13:29:38 UTC 2016,Thursday,13:29:38,"Our Hire Heroes USA team is doing some great work on this first-ever tour to assist transitioning U.S. military members in the South Pacific. #WeLoveWhatWeDo

#EmpowerVets

#MakingADifference",11,0,0,PHOTO
Thu Oct 27 13:18:18 UTC 2016,Thursday,13:18:18,"At Hire Heroes USA, we believe that every day is Veterans Day! So, this year, we are doing something special and we are inviting you and your friends and colleagues to participate!



Starting Friday, November 4 and running through November 13, we are asking everyone to share their own stories of the U.S. veterans they know. Post them on your social media using the hashtag #WhosYourHero and tagging @hireheroesusa. We plan on sharing many of these stories during the campaign. 



https://www.hireheroesusa.org/whosyourhero/",15,0,12,LINK
Wed Oct 26 14:55:19 UTC 2016,Wednesday,14:55:19,"The Walmart Foundation is an important part of our Hire Heroes USA team and a big supporter of our military and veterans. It is because of generous funders like these that we are able to do what we do best: empower transitioning military, veterans and their spouses to succeed in the civilian workforce. Learn more about Walmart's support of our military at the link below. #‎veterans #‎military",6,0,0,LINK
Tue Oct 25 15:00:00 UTC 2016,Tuesday,15:00:00,"Happy Tuesday! Here is a special edition  of our Minute Tips. 

This week's topic:  Keeping a positive attitude.",25,1,5,VIDEO
Mon Oct 24 12:31:17 UTC 2016,Monday,12:31:17,"Are you a veteran, military member or military spouse looking to advance your career in the civilian workforce? Register today with Hire Heroes USA to get the tools you need to take your career to the next level.",18,2,2,LINK
Fri Oct 21 18:17:50 UTC 2016,Friday,18:17:50,"This Veterans Day, Hire Heroes USA invites you to share the stories of the men and women you know that have served in the U.S. armed forces. Are they a family member - a friend - a teacher - a coach - a neighbor - or even a colleague? Find a photo, or create a video and tell all of us in a post from your Facebook, Twitter and/or Instagram account. Tag @hireheroesusa and add the hashtag #WhosYourHero.",80,4,70,VIDEO
Fri Oct 21 15:21:34 UTC 2016,Friday,15:21:34,"In this week’s Veteran Spotlight, someone who is known more for his achievements in the NFL. Roger Staubach, a Naval Academy graduate and Vietnam veteran, is founder of @AlliesInService (https://alliesinservice.org/), a Dallas-based organization that identifies and supports veterans who need assistance in the areas of employment, housing, education, and health care. As part of that, Allies in Service works together with Hire Heroes USA. Learn more about Staubach, and how his military and civilian careers contributed to his success in these articles: 

http://www.armchairgeneral.com/roger-staubach-an-interview-with-the-super-bowl-xlv-chairman.htm",10,0,3,LINK
Thu Oct 20 22:27:41 UTC 2016,Thursday,22:27:41,Thanks to Jiu Jitsu In the Park for supporting our mission with their great fundraising event - and these cool shirts!,14,1,0,PHOTO
Thu Oct 20 20:35:25 UTC 2016,Thursday,20:35:25,"We are grateful to the Call of Duty Endowment for their continued support of our mission to empower transitioning military members, veterans and military spouses to achieve success in the civilian workforce. This mission is our passion, and our team across the country works hard every day to make a difference in the lives of the men and women who have served our country.",10,0,1,LINK
Wed Oct 19 21:17:29 UTC 2016,Wednesday,21:17:29,"Some great photos from our Colorado Springs team. They joined the El Paso County Homeless Veterans Coalition for their ""Homeless Veteran Stand Down"" last night in Colorado Springs. In addition to registering veterans for our services, two veterans who had previously received our assistance stopped by to say thanks.

What a great event! #MakingaDifference #military #empowervets #WeLoveWhatWeDo",20,0,2,PHOTO
Wed Oct 19 13:13:42 UTC 2016,Wednesday,13:13:42,Hire Heroes USA has arrived in Asia! Our team is in Japan for the start of our USO​ Transition 360 workshops with transitioning military members in the South Pacific.,51,2,2,PHOTO
Tue Oct 18 18:35:20 UTC 2016,Tuesday,18:35:20,"Did you know: When you #StartWithaSmile, Amazon donates 0.5% of the purchase price to Hire Heroes USA. Bookmark this link - 

https://smile.amazon.com/ch/43-1562688 - and support our mission to assist transitioning military members, veterans and military spouses every time you shop",5,0,5,LINK
Tue Oct 18 14:01:12 UTC 2016,Tuesday,14:01:12,"It’s Tuesday and that means another Minute Tip from Hire Heroes USA!

 This week: How to keep your social media professional.",35,0,7,VIDEO
Tue Oct 18 12:05:21 UTC 2016,Tuesday,12:05:21,Our CEO Brian Stann is getting attention outside the UFC as well. Check out his blog item that was in The Huffington Post last friday  -,47,1,5,LINK
