filter,likes,comments,date,time(GMT/UTC),day_of_week
Perpetua,16,0,6/2/15,14:21:13,Tuesday
Reyes,30,1,5/27/15,14:59:52,Wednesday
Normal,49,0,5/25/15,18:55:11,Monday
Normal,18,0,5/18/15,15:03:39,Monday
Lark,30,1,5/16/15,12:42:15,Saturday
Normal,28,0,5/7/15,20:16:50,Thursday
Crema,20,1,4/22/15,21:46:22,Wednesday
Normal,27,0,4/17/15,15:16:26,Friday
Normal,13,0,4/14/15,14:17:25,Tuesday
Normal,36,1,3/27/15,21:52:32,Friday
Normal,20,2,3/26/15,23:34:06,Thursday
Aden,17,1,2/27/15,18:10:22,Friday
Ludwig,21,1,2/26/15,21:41:14,Thursday
Normal,14,0,2/12/15,19:47:43,Thursday
Crema,14,0,2/11/15,21:42:02,Wednesday
Ludwig,20,0,2/5/15,18:53:21,Thursday
Ludwig,22,0,2/2/15,1:59:53,Monday
Ludwig,18,1,1/30/15,17:21:33,Friday
Aden,20,0,1/28/15,21:37:44,Wednesday
Crema,19,0,1/22/15,20:17:18,Thursday
Crema,21,0,1/15/15,17:17:37,Thursday
Aden,24,1,1/13/15,16:15:09,Tuesday
Crema,38,0,1/6/15,14:46:23,Tuesday
Ludwig,31,0,12/24/14,3:56:05,Wednesday
Normal,20,0,12/22/14,14:43:34,Monday
Hudson,19,0,12/12/14,23:09:35,Friday
Mayfair,48,0,12/12/14,4:02:05,Friday
Amaro,23,0,12/10/14,1:39:11,Wednesday
Mayfair,21,0,12/8/14,21:45:54,Monday
Amaro,12,0,12/4/14,18:39:48,Thursday
Normal,8,0,12/1/14,15:00:14,Monday
Amaro,13,0,11/20/14,18:34:40,Thursday
Normal,31,0,7/23/14,23:09:25,Wednesday
Normal,30,1,7/2/14,0:07:15,Wednesday
Normal,24,0,6/3/14,16:35:26,Tuesday
Normal,22,2,5/22/14,18:48:37,Thursday
Normal,25,1,5/15/14,21:41:53,Thursday
Normal,22,1,4/25/14,1:19:38,Friday
Normal,38,1,4/14/14,13:47:24,Monday
Normal,35,1,4/4/14,16:37:40,Friday
Normal,78,1,4/2/14,22:22:36,Wednesday
Normal,13,1,3/19/14,14:04:27,Wednesday
Normal,21,2,3/14/14,15:00:57,Friday
Normal,11,1,3/12/14,16:21:59,Wednesday
Normal,34,1,3/6/14,14:01:56,Thursday
Normal,12,1,3/5/14,22:03:11,Wednesday
Normal,37,1,2/25/14,18:21:22,Tuesday
Normal,25,1,2/21/14,15:52:33,Friday
Mayfair,12,3,2/18/14,16:12:27,Tuesday
Normal,26,1,2/14/14,16:11:37,Friday
Normal,13,1,2/12/14,15:25:11,Wednesday
Normal,17,2,2/11/14,19:28:29,Tuesday
Normal,11,1,2/10/14,14:53:46,Monday
Normal,6,1,2/7/14,14:59:44,Friday
Normal,13,1,2/6/14,18:49:48,Thursday
Normal,7,1,2/5/14,15:16:45,Wednesday
Hefe,6,1,1/30/14,20:41:32,Thursday
Normal,8,1,1/27/14,18:58:37,Monday
Normal,12,2,1/23/14,16:01:15,Thursday
Normal,13,1,1/22/14,16:18:33,Wednesday
Normal,10,1,1/21/14,22:02:45,Tuesday
Normal,17,1,1/20/14,16:23:57,Monday
Normal,22,1,1/17/14,15:36:34,Friday
Normal,4,1,1/14/14,16:32:46,Tuesday
Normal,21,1,1/13/14,20:13:27,Monday
Normal,28,2,1/10/14,16:10:37,Friday
Normal,9,0,1/9/14,15:38:50,Thursday
Normal,9,0,1/8/14,16:32:33,Wednesday
Normal,3,1,1/6/14,22:09:18,Monday
Normal,16,1,1/3/14,16:21:41,Friday
Normal,4,1,1/2/14,17:01:09,Thursday
Normal,5,0,12/30/13,17:57:56,Monday
Normal,12,1,12/25/13,14:57:18,Wednesday
Normal,7,1,12/23/13,16:24:26,Monday
Normal,4,1,12/20/13,23:24:29,Friday
Normal,5,1,12/18/13,21:27:11,Wednesday
Normal,10,0,12/16/13,22:19:41,Monday
Normal,8,2,12/14/13,17:35:08,Saturday
Normal,15,1,12/13/13,15:42:57,Friday
Normal,6,1,12/12/13,16:17:19,Thursday
Normal,5,1,12/10/13,19:23:15,Tuesday
Normal,13,1,12/9/13,23:52:43,Monday
Normal,9,1,12/5/13,16:37:27,Thursday
Normal,9,1,12/4/13,20:06:46,Wednesday
Normal,3,1,12/2/13,16:00:44,Monday
Normal,17,1,11/22/13,14:41:25,Friday
Normal,7,1,11/21/13,18:39:49,Thursday
Normal,8,1,11/19/13,18:52:00,Tuesday
Normal,7,2,11/14/13,21:24:50,Thursday
Normal,16,1,11/10/13,16:49:01,Sunday
Normal,7,1,11/7/13,15:30:08,Thursday
Normal,2,1,11/7/13,0:55:58,Thursday
Normal,14,1,11/1/13,14:48:51,Friday
Normal,7,1,10/31/13,19:19:30,Thursday
Normal,12,1,10/30/13,14:59:48,Wednesday
Mayfair,8,1,10/29/13,20:30:55,Tuesday
Normal,8,0,10/28/13,16:20:48,Monday
Normal,6,1,10/24/13,17:54:52,Thursday
Mayfair,8,1,10/23/13,14:53:33,Wednesday
Normal,6,1,10/22/13,18:23:45,Tuesday
Normal,8,1,10/21/13,19:52:17,Monday
Normal,18,1,10/17/13,14:44:25,Thursday
Normal,16,2,10/15/13,19:09:11,Tuesday
Normal,8,1,10/11/13,15:08:03,Friday
Normal,11,0,10/8/13,19:04:01,Tuesday
Normal,6,0,10/7/13,20:33:30,Monday
Mayfair,7,1,10/7/13,20:20:11,Monday
Normal,2,0,10/2/13,19:32:46,Wednesday
Brannan,13,0,10/1/13,21:08:23,Tuesday
Normal,30,2,11/2/16,19:06:45,Wednesday
Normal,36,0,11/2/16,0:53:28,Wednesday
Normal,49,5,10/27/16,23:19:43,Thursday
Normal,43,1,10/24/16,12:00:38,Monday
Normal,38,1,10/23/16,22:15:19,Sunday
Normal,52,0,10/21/16,9:06:23,Friday
Normal,57,0,10/19/16,21:49:50,Wednesday
Normal,73,0,10/19/16,13:23:20,Wednesday
Normal,64,3,10/19/16,9:26:08,Wednesday
Normal,52,1,10/10/16,14:24:18,Monday
Rise,43,0,10/7/16,23:34:10,Friday
Normal,58,0,10/5/16,15:47:28,Wednesday
Normal,63,0,10/4/16,8:45:54,Tuesday
Normal,40,0,10/2/16,16:12:44,Sunday
Normal,123,0,10/1/16,19:16:42,Saturday
Normal,50,0,10/1/16,13:03:15,Saturday
Normal,55,0,9/30/16,17:15:53,Friday
Normal,31,0,9/30/16,14:58:30,Friday
Normal,83,1,9/30/16,2:22:42,Friday
Normal,45,0,9/30/16,1:57:38,Friday
Normal,38,0,9/30/16,1:27:18,Friday
Normal,60,2,9/28/16,1:09:26,Wednesday
Amaro,78,2,9/25/16,19:25:18,Sunday
Normal,15,0,9/24/16,23:12:56,Saturday
Normal,52,2,9/24/16,13:56:24,Saturday
Normal,60,1,9/23/16,8:41:57,Friday
Normal,74,1,9/18/16,17:49:36,Sunday
Normal,54,1,9/17/16,11:30:27,Saturday
Normal,41,0,9/12/16,22:40:29,Monday
Normal,87,1,9/11/16,14:54:14,Sunday
Normal,71,3,9/11/16,1:38:20,Sunday
Normal,35,0,9/4/16,17:50:06,Sunday
Normal,52,1,9/4/16,1:36:57,Sunday
Normal,37,1,9/2/16,17:10:53,Friday
Normal,68,1,9/1/16,9:36:49,Thursday
Normal,43,0,8/31/16,14:51:39,Wednesday
Normal,85,1,8/28/16,14:15:21,Sunday
Clarendon,41,2,8/25/16,22:22:26,Thursday
Normal,46,5,8/20/16,21:26:49,Saturday
Clarendon,39,0,8/19/16,14:54:16,Friday
Normal,50,0,8/18/16,1:30:22,Thursday
Clarendon,57,0,8/17/16,2:24:05,Wednesday
Lark,53,0,8/14/16,13:41:24,Sunday
Normal,89,0,8/14/16,2:53:04,Sunday
Clarendon,31,1,8/13/16,14:41:42,Saturday
Normal,86,3,8/12/16,22:24:19,Friday
Clarendon,50,3,8/11/16,23:42:16,Thursday
