DATE,company_update_clicks,company_update_unique_impressions,distinct_pageview_overview_count,company_update_impressions,company_update_comments,company_update_engagement,company_update_likes,company_update_shares,pageview_overview_count
Thu Dec 04 2014,0,0,16,0,0,0,0,0,20
Fri Dec 05 2014,0,0,16,0,0,0,0,0,25
Sat Dec 06 2014,0,0,5,0,0,0,0,0,20
Sun Dec 07 2014,0,0,5,0,0,0,0,0,24
Mon Dec 08 2014,0,0,16,0,0,0,0,0,22
Tue Dec 09 2014,0,0,17,0,0,0,0,0,18
Wed Dec 10 2014,0,0,17,0,0,0,0,0,23
Thu Dec 11 2014,0,0,15,0,0,0,0,0,20
Fri Dec 12 2014,0,0,11,0,0,0,0,0,12
Sat Dec 13 2014,0,0,4,0,0,0,0,0,4
Sun Dec 14 2014,0,0,8,0,0,0,0,0,8
Mon Dec 15 2014,0,0,17,0,0,0,0,0,20
Tue Dec 16 2014,0,0,20,0,0,0,0,0,26
Wed Dec 17 2014,0,0,9,0,0,0,0,0,11
Thu Dec 18 2014,0,0,14,0,0,0,0,0,14
Fri Dec 19 2014,0,0,20,0,0,0,0,0,29
Sat Dec 20 2014,0,0,5,0,0,0,0,0,7
Sun Dec 21 2014,0,0,2,0,0,0,0,0,5
Mon Dec 22 2014,0,0,11,0,0,0,0,0,13
Tue Dec 23 2014,0,0,12,0,0,0,0,0,19
Wed Dec 24 2014,0,0,4,0,0,0,0,0,5
Thu Dec 25 2014,0,0,2,0,0,0,0,0,4
Fri Dec 26 2014,0,0,6,0,0,0,0,0,7
Sat Dec 27 2014,0,0,8,0,0,0,0,0,10
Sun Dec 28 2014,0,0,5,0,0,0,0,0,4
Mon Dec 29 2014,0,0,20,0,0,0,0,0,33
Tue Dec 30 2014,0,0,8,0,0,0,0,0,9
Wed Dec 31 2014,0,0,11,0,0,0,0,0,11
Thu Jan 01 2015,0,0,7,0,0,0,0,0,8
Fri Jan 02 2015,0,0,13,0,0,0,0,0,13
Sat Jan 03 2015,3,152,6,330,0,0.00909091,0,0,6
Sun Jan 04 2015,0,8,8,100,0,0,0,0,9
Mon Jan 05 2015,5,20,20,320,0,0.015625,0,0,24
Tue Jan 06 2015,1,15,15,230,0,0.00434783,0,0,19
Wed Jan 07 2015,1,17,17,240,0,0.00416667,0,0,19
Thu Jan 08 2015,2,20,20,280,0,0.00714286,0,0,23
Fri Jan 09 2015,2,17,17,280,0,0.00714286,0,0,25
Sat Jan 10 2015,0,6,6,70,0,0,0,0,6
Sun Jan 11 2015,1,5,4,51,0,0.01960784,0,0,4
