"Id","Name","ParentRoleId","RollupDescription","OpportunityAccessForAccountOwner","CaseAccessForAccountOwner","ContactAccessForAccountOwner","ForecastUserId","MayForecastManagerShare","LastModifiedDate","LastModifiedById","SystemModstamp","PortalAccountId","PortalType","PortalRole","PortalAccountOwnerId"
"00E38000000uStOEAU","O2O Coordinator","00E38000001X3sBEAS","Employment Opportunities","Edit","Edit","Edit","","0","2015-11-18 13:57:21","00538000004gsNsAAI","2015-11-18 13:57:21","","None","",""
"00E38000000uWrWEAU","Alpharetta Blue Area Manager","00E50000001NuuFEAS","Alpharetta","Edit","Edit","Edit","","0","2016-08-16 13:34:49","00538000004gsNsAAI","2016-08-18 06:10:46","","None","",""
"00E38000000uWrbEAE","Alpharetta Blue VTS","00E38000000uWrWEAU","Alpharetta","Edit","Edit","Edit","","0","2016-08-16 13:34:22","00538000004gsNsAAI","2016-08-18 06:10:46","","None","",""
"00E38000000uYRpEAM","Director, Independence Project","00E50000000o80kEAA","Independence Project","Edit","Edit","Edit","","0","2016-02-09 17:32:31","00538000004gsNsAAI","2016-07-16 12:43:42","","None","",""
"00E38000000ubYAEAY","Manager, Corporate Outreach","00E50000001Nuu0EAC","Corporate Outreach","Edit","Edit","Edit","","0","2015-12-22 14:22:48","00538000004gsNsAAI","2015-12-22 14:22:48","","None","",""
"00E38000000uc5xEAA","Manager, Federal Program","00E50000001NxcxEAC","Volunteer Program","Edit","Edit","Edit","","0","2016-01-07 14:51:11","00538000004gsNsAAI","2016-01-07 14:51:11","","None","",""
"00E38000000uesSEAQ","Alpharetta Blue VTS (former)","00E38000000uWrWEAU","Alpharetta","Edit","Edit","Edit","","0","2016-08-16 13:34:32","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E38000000uex3EAA","Idaho Area Manager","00E50000001NuuAEAS","Idaho","Edit","Edit","Edit","","0","2016-02-03 18:55:37","00538000004gsNsAAI","2016-02-03 18:55:37","","None","",""
"00E38000000ufSLEAY","Director, Marketing & Development","00E50000000o80kEAA","Marketing & Development","Edit","Edit","Edit","","0","2016-02-09 17:34:01","00538000004gsNsAAI","2016-02-09 17:34:01","","None","",""
"00E38000000ufSQEAY","Manager, Marketing & Development","00E38000000ufSLEAY","Marketing & Development","Edit","Edit","Edit","","0","2016-02-09 17:35:35","00538000004gsNsAAI","2016-02-09 17:35:35","","None","",""
"00E38000000ufSVEAY","Coordinator, Marketing & Development","00E38000000ufSQEAY","Marketing & Development","Edit","Edit","Edit","","0","2016-02-09 17:42:59","00538000004gsNsAAI","2016-02-09 17:42:59","","None","",""
"00E38000000ufSaEAI","Senior Coordinator, Marketing & Development","00E38000000ufSQEAY","Marketing & Development","Edit","Edit","Edit","","0","2016-02-09 17:41:49","00538000004gsNsAAI","2016-02-09 17:41:49","","None","",""
"00E38000000ufY4EAI","Job Coach","00E38000000uYRpEAM","Independence Project","Edit","Edit","Edit","","0","2016-02-11 17:38:03","00538000004gsNsAAI","2016-07-16 12:43:42","","None","",""
"00E38000000ufkFEAQ","Los Angeles VTS (former)","00E50000001NuujEAC","Los Angeles","Edit","Edit","Edit","","0","2016-02-12 17:38:47","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E38000000uyFaEAI","Colorado Springs Blue Area Manager","00E50000001NuuAEAS","Colorado Springs Blue","Edit","Edit","Edit","","0","2016-03-25 16:56:13","00538000004gsNsAAI","2016-03-25 16:56:13","","None","",""
"00E38000000uyFfEAI","Colorado Springs Blue VTS","00E38000000uyFaEAI","Colorado Springs Blue","Edit","Edit","Edit","","0","2016-03-25 16:57:02","00538000004gsNsAAI","2016-04-22 03:25:05","","None","",""
"00E38000000uyFkEAI","Colorado Springs Blue VTS (former)","00E38000000uyFaEAI","Colorado Springs Blue","Edit","Edit","Edit","","0","2016-03-25 16:58:33","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E3800000125JPEAY","Programs Consultant","00E50000001Nuu0EAC","Programs Consultant","Edit","Edit","Edit","","0","2016-08-03 13:25:33","00538000004gsNsAAI","2016-08-05 02:12:15","","None","",""
"00E380000015d7xEAA","Alpharetta VTS (reassigned)","00E50000001NuuKEAS","Alpharetta","Edit","Edit","Edit","","0","2016-09-16 13:26:40","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E380000015d82EAA","Dallas VTS (reassigned)","00E50000001NuuPEAS","Dallas","Edit","Edit","Edit","","0","2016-09-16 13:27:47","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E380000015d87EAA","Raleigh VTS (reassigned)","00E50000001NuuUEAS","Raleigh","Edit","Edit","Edit","","0","2016-09-16 13:28:39","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E380000015d8CEAQ","Colorado Springs Blue VTS (reassigned)","00E38000000uyFaEAI","Colorado Springs Blue","Edit","Edit","Edit","","0","2016-09-16 13:32:32","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E380000015d8HEAQ","Colorado Springs Red VTS (reassigned)","00E50000001NuuoEAC","Colorado Springs Red","Edit","Edit","Edit","","0","2016-09-16 13:33:29","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E380000015d8MEAQ","Los Angeles VTS (reassigned)","00E50000001NuujEAC","Los Angeles","Edit","Edit","Edit","","0","2016-09-16 13:34:43","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E380000015d8REAQ","San Diego VTS (reassigned)","00E50000001NuuZEAS","San Diego","Edit","Edit","Edit","","0","2016-09-16 13:35:54","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E380000015d8WEAQ","Seattle VTS (reassigned)","00E50000001NuueEAC","Seattle","Edit","Edit","Edit","","0","2016-09-16 13:36:34","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E38000001X0RvEAK","Dallas VTS (former)","00E50000001NuuPEAS","Dallas","Edit","Edit","Edit","","0","2015-12-16 17:23:47","00538000004gsNsAAI","2015-12-16 17:23:47","","None","",""
"00E38000001X0S0EAK","Alpharetta VTS (former)","00E50000001NuuKEAS","Alpharetta","Edit","Edit","Edit","","0","2016-08-16 13:03:11","00538000004gsNsAAI","2016-09-17 12:46:11","","None","",""
"00E38000001X0S5EAK","Raleigh VTS (former)","00E50000001NuuUEAS","Raleigh","Edit","Edit","Edit","","0","2015-08-26 17:08:47","00550000002Ccz4AAC","2015-08-26 17:08:47","","None","",""
"00E38000001X0SAEA0","Colorado Springs Red VTS (former)","00E50000001NuuoEAC","Colorado Springs Red","Edit","Edit","Edit","","0","2016-03-30 12:27:31","00538000004gsNsAAI","2016-03-30 12:27:31","","None","",""
"00E38000001X0SFEA0","Seattle VTS (former)","00E50000001NuueEAC","Seattle","Edit","Edit","Edit","","0","2015-08-26 17:08:32","00550000002Ccz4AAC","2015-08-26 17:08:32","","None","",""
"00E38000001X0SKEA0","San Diego VTS (former)","00E50000001NuuZEAS","San Diego","Edit","Edit","Edit","","0","2015-08-26 17:08:25","00550000002Ccz4AAC","2016-09-17 12:46:11","","None","",""
